Rank,Name,ELO,Title,FIDE_Id,Federation,Games,Birth_Year
145,Evgeny Romanov,2636,GM,4148843, Russian Federation,1148,1988
146,Zhong Zhang,2636,GM,8600694, Singapore,892,1978
147,Grzegorz Gajewski,2634,GM,1116207, Poland,987,1985
148,Boris Savchenko,2634,GM,4147332, Russian Federation,1271,1986
149,AR Saleh Salem,2633,GM,9301348, United Arab Emirates,633,1993
150,S.P. Sethuraman,2633,GM,5021596, India,749,1993
151,Farrukh Amonatov,2632,GM,14700077, Tajikistan,750,1978
152,Matthias Bluebaum,2632,GM,24651516, Germany,531,1997
153,Ngoc Truong Son Nguyen,2632,GM,12401110, Viet Nam,803,1990
154,Yaroslav Zherebukh,2632,GM,14116804, United States,566,1993
155,Constantin Lupulescu,2631,GM,1207822, Romania,1024,1984
156,Vasif Durarbayli,2630,GM,13402935, Azerbaijan,325,1992
157,Georg Meier,2630,GM,4675789, Germany,940,1987
158,Yuniesky Quesada Perez,2630,GM,3504409, Cuba,649,1984
159,Mustafa Yilmaz,2630,GM,6302718, Turkey,526,1992
160,Anton Demchenko,2629,GM,4160258, Russian Federation,376,1987
161,Vladislav Kovalev,2629,GM,13504398, Belarus,561,1994
162,Ivan Sokolov,2629,GM,14400030, Netherlands,2673,1968
163,Christian Bauer,2627,GM,603767, France,1814,1977
164,Michal Krasenkow,2627,GM,1113100, Poland,2199,1963
165,Ivan Salgado Lopez,2627,GM,2257327, Spain,805,1991
166,Tigran Gharamian,2626,GM,13301527, France,593,1984
167,Abhijeet Gupta,2626,GM,5010608, India,954,1989
168,Rinat Jumabayev,2625,GM,13702661, Kazakhstan,575,1989
169,Anatoly Karpov,2624,GM,4100026, Russian Federation,3681,1951
170,Ildar Khairullin,2624,GM,4151348, Russian Federation,1058,1990
171,Mikhail Kobalia,2624,GM,4119150, Russian Federation,735,1978
172,Zaven Andriasian,2622,GM,13302000, Armenia,812,1989
173,Sergey A Fedorchuk,2621,GM,14102536, Ukraine,1424,1981
174,Jon Ludvig Hammer,2621,GM,1503707, Norway,832,1990
175,Robert Hovhannisyan,2621,GM,13302507, Armenia,471,1991
